,NO-N,NO-S
675,124232.0792889835,280477.62238338334
676,125018.69221113092,255824.91299137103
677,111552.44331839896,237401.5336507422
678,106423.59918185098,262003.57827970883
679,111498.29758440648,302640.13336289197
680,113286.58780273245,317635.08586378966
681,115858.68142253786,278383.31834340614
682,122985.03627286604,296893.93771848764
683,125468.0120901786,296317.7569297005
684,121394.16123644728,285168.2337843834
685,123481.18215174577,276233.8231509038
686,130893.25938374779,275573.9988232565
687,130755.4655671508,280322.6148360129
688,129375.26756697508,292908.5769127724
689,129120.38950720042,291692.4478144278
690,124675.51007642047,293995.29664573015
691,127257.43198182395,273689.47767562116
692,124799.86103813983,266391.0190111628
693,134685.58623535273,310335.4282373983
694,136599.48153268738,311185.5887982409
695,138517.49517863506,307078.347454807
696,139697.56637034667,296736.8127733916
697,134096.28305046633,306517.8990075716
698,125538.37619969752,284478.2346938456
699,125935.98114433285,290640.8591219487
700,141183.44518493314,308214.6441773854
701,143325.3738055313,309126.834222932
702,139024.017413883,284502.86821423867
703,134436.5154045351,273030.6405117527
704,138128.16036153535,289563.5612245774
705,133618.3795123417,258523.39599254564
706,134405.67098783504,266942.87620958284
707,136416.60251578613,288129.3881226371
708,137282.67989594134,317426.9582055983
709,133793.2286947998,291217.4543555517
710,133566.82802709748,314376.995841649
711,143542.693329216,309337.5322632722
712,134887.09242342174,294554.6125905306
713,141339.48183104233,302294.3314576876
714,143988.1380685525,326979.3314492459
715,139431.8212661945,318376.8916652519
716,144591.386195561,312600.63539858325
717,138629.1484476714,308036.4947728233
718,146097.53049781587,309356.03924846527
719,138376.2066259837,273254.3758919204
720,134697.91471730007,276122.34629738994
721,143060.58125967553,320316.1925545868
722,135058.5423685174,302384.4643497041
723,140581.1291902418,306493.22350288136
724,139733.58841620674,309292.50254842214
725,139744.56208951905,317908.5655671753
726,140778.44859869062,294514.25421861664
727,138399.11629194603,300890.3279027536
728,138917.112670899,310382.6470288187
729,138026.0342063302,313499.22615166474
730,135514.61887944178,298156.3863210909
731,140205.34041564638,285775.518437339
732,143919.1422128232,308865.9780545263
733,146407.8775117978,283737.8722191786
734,136851.41432692832,270018.2854480725
735,143793.69028142258,281406.94979659515
736,140447.83948120824,275786.719835278
737,137677.06608437683,282627.0436568845
738,142487.93539533613,295975.7781928743
739,140812.7733811307,307072.29557693424
740,140485.36331889956,306000.5008973314
741,134407.7073199692,293907.0578404818
742,137249.40510339357,309181.5223139216
743,143143.69418795864,312570.41434945166
744,138577.5304179926,332482.2726455793
745,144581.69147436725,328056.5365115552
746,141617.80700958718,309691.5560306327
747,132375.21013216343,279007.3113182204
748,133719.50514836572,272339.25362878875
749,138651.89042291863,313738.4787869822
750,133160.59309688187,318300.23409883457
751,137288.75988660913,329910.66320440697
752,130474.56121553342,367575.40586463036
753,133877.66916126705,348218.7539086095
754,132517.12217823448,315658.3970631962
755,135573.2149605644,325595.42828336277
756,146247.59866897512,327274.2073458084
757,153295.53310700058,317329.69953782053
758,154429.03665975292,305913.609449062
759,155060.2369702632,323490.9390288796
760,157773.00937558516,321886.7873917353
761,149961.43173414702,326810.67529286235
762,151340.8499925343,322100.619982853
763,154630.6201958745,326673.0546973208
764,149911.05355258888,313742.16075198445
765,149733.48330351754,310084.5168642584
766,151199.21963173102,308328.40551564406
767,149872.7672030478,335653.63355191355
768,140068.87492111273,315904.9772847533
769,140946.0813230346,323309.049640671
770,149503.14247338753,334509.66826927406
771,146222.929503794,332193.92255383066
772,143495.54396145555,341259.88687548833
773,144614.31615491697,334325.26109631377
774,142633.33791419805,300908.6918609952
775,126054.11279979255,289971.656133808
776,132212.41846688197,293411.9822367941
